normalized_player,normalized_full_name,full_name,height_cm,weight_kg,preferred_foot,weak_foot,dob,club_contract_valid_until,birth_year_x,#OPA,#OPA/90,+/-,+/-90,/90,1/3,1/3_stats_possession,2CrdY,90s,90s_stats_defense,90s_stats_gca,90s_stats_keeper,90s_stats_keeper_adv,90s_stats_misc,90s_stats_passing,90s_stats_passing_types,90s_stats_playing_time,90s_stats_possession,90s_stats_shooting,A-xAG,Age,Age_stats_defense,Age_stats_gca,Age_stats_keeper,Age_stats_keeper_adv,Age_stats_misc,Age_stats_passing,Age_stats_passing_types,Age_stats_playing_time,Age_stats_possession,Age_stats_shooting,Ast,Ast_stats_passing,Att,Att (GK),Att 3rd,Att 3rd_stats_possession,Att Pen,Att_stats_defense,Att_stats_keeper_adv,Att_stats_passing_types,Att_stats_possession,AvgDist,AvgLen,Blocks,Blocks_stats_defense,Born,Born_stats_defense,Born_stats_gca,Born_stats_keeper,Born_stats_keeper_adv,Born_stats_misc,Born_stats_passing,Born_stats_passing_types,Born_stats_playing_time,Born_stats_possession,Born_stats_shooting,CK,CK_stats_keeper_adv,CPA,CS,CS%,Carries,Clr,Cmp,Cmp%,Cmp%_stats_keeper_adv,Cmp_stats_keeper_adv,Cmp_stats_passing_types,Comp,Comp_stats_defense,Comp_stats_gca,Comp_stats_keeper,Comp_stats_keeper_adv,Comp_stats_misc,Comp_stats_passing,Comp_stats_passing_types,Comp_stats_playing_time,Comp_stats_possession,Comp_stats_shooting,Compl,CrdR,CrdR_stats_misc,CrdY,CrdY_stats_misc,Crs,CrsPA,Crs_stats_misc,D,Dead,Def,Def 3rd,Def 3rd_stats_possession,Def Pen,Dis,Dist,Err,FK,FK_stats_keeper_adv,FK_stats_passing_types,Fld,Fld_stats_misc,Fls,G+A,G+A-PK,G-PK,G-xG,G/Sh,G/SoT,GA,GA90,GA_stats_keeper_adv,GCA,GCA90,Gls,Gls_stats_shooting,In,Int,Int_stats_misc,KP,L,Launch%,Live,Live_stats_possession,Lost,Lost_stats_misc,MP,MP_stats_keeper,MP_stats_playing_time,Mid 3rd,Mid 3rd_stats_possession,Min,Min%,Min_stats_keeper,Min_stats_playing_time,Mis,Mn/MP,Mn/Start,Mn/Sub,Nation,Nation_stats_defense,Nation_stats_gca,Nation_stats_keeper,Nation_stats_keeper_adv,Nation_stats_misc,Nation_stats_passing,Nation_stats_passing_types,Nation_stats_playing_time,Nation_stats_possession,Nation_stats_shooting,OG,OG_stats_keeper_adv,Off,Off_stats_misc,On-Off,Opp,Out,PK,PKA,PKA_stats_keeper_adv,PK_stats_shooting,PKatt,PKatt_stats_keeper,PKatt_stats_shooting,PKcon,PKm,PKsv,PKwon,PPA,PPM,PSxG,PSxG+/-,PSxG/SoT,Pass,PassDead,PassLive,Player,Pos,Pos_stats_defense,Pos_stats_gca,Pos_stats_keeper,Pos_stats_keeper_adv,Pos_stats_misc,Pos_stats_passing,Pos_stats_passing_types,Pos_stats_playing_time,Pos_stats_possession,Pos_stats_shooting,PrgC,PrgC_stats_possession,PrgDist,PrgDist_stats_possession,PrgP,PrgP_stats_passing,PrgR,PrgR_stats_possession,Rec,Recov,Rk,Rk_stats_defense,Rk_stats_gca,Rk_stats_keeper,Rk_stats_keeper_adv,Rk_stats_misc,Rk_stats_passing,Rk_stats_passing_types,Rk_stats_playing_time,Rk_stats_possession,Rk_stats_shooting,SCA,SCA90,Save%,Saves,Sh,Sh/90,Sh_stats_defense,Sh_stats_gca,SoT,SoT%,SoT/90,SoTA,Squad,Starts,Starts_stats_keeper,Starts_stats_playing_time,Stp,Stp%,Str,Subs,Succ,Succ%,Sw,TB,TI,TO,Thr,Tkl,Tkl%,Tkl+Int,TklW,TklW_stats_misc,Tkld,Tkld%,TotDist,TotDist_stats_possession,Touches,W,Won,Won%,id,last_evaluation,market_value,np:G-xG,npxG,npxG+xAG,npxG/Sh,npxG_stats_shooting,onG,onGA,onxG,onxGA,success,unSub,value_updated,xA,xAG,xAG_stats_passing,xG,xG+/-,xG+/-90,xG+xAG,xG_stats_shooting,birth_year_y
mohamed salah,mohamed salah hamed ghalyمحمد صلاح,Mohamed Salah Hamed Ghalyمحمد صلاح,175,72,Left,3 ,1992-06-15,2027,1992,,,45,1.2,,53,59,0,37.5,37.5,37.5,,,37.5,37.5,37.5,37.5,37.5,37.5,3.8,32.0,32.0,32.0,,,32.0,32.0,32.0,32.0,32.0,32.0,18,18,1263,,9,1119,356,17,,1263,137,,,62,12,1992.0,1992.0,1992.0,,,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,0,,126,,,1149,5,892,70.6,,,892,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,29,0,0,1,1,79,15,79,,30,3,7,97,11,67,14.5,0,1,,7,5,39,25,47,1.01,20,3.8,0.17,0.4,,,,27,0.72,29,29,0,9,9,88,,,1227,1686,9,14,38,,38,5,500,3371,98.6,,3371,116,89,89.0,,eg EGY,eg EGY,eg EGY,,,eg EGY,eg EGY,eg EGY,eg EGY,eg EGY,eg EGY,0,,6,18,1.2,,0,9,,,9,9,,9,0,,,0,93,2.21,,,,12,2,123,Mohamed Salah,FW,FW,FW,,,FW,FW,FW,FW,FW,FW,154,154,3919,3695,144,144,488,488,1407,101,2305,2305,2305,,,2305,2305,2305,2843,2305,2305,169,4.51,,,121,3.23,0,14,50,41.3,1.33,,Liverpool,38,,38,,,0,0,58,42.3,3,19,23,22,,21,47.1,30,11,11,72,52.6,13343,6973,1695,,9,39.1,148455.0,2025-05-30,50000000.0,1.8,18.2,32.4,0.15,18.2,85,40,81.6,38.1,True,0,True,9.1,14.2,14.2,25.2,43.5,1.16,1.05,25.2,1992
jude bellingham, jude victor william bellingham, Jude Victor William Bellingham,186,75,Right,4 ,2003-06-29,2029,2003,,,28,1.01,,130,61,0,27.6,27.6,27.6,,,27.6,27.6,27.6,27.6,27.6,27.6,4.1,21.0,21.0,21.0,,,21.0,21.0,21.0,21.0,21.0,21.0,8,8,1548,,14,752,110,42,,1548,75,,,27,37,2003.0,2003.0,2003.0,,,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,1,,14,,,1229,23,1333,86.1,,,1333,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,19,1,1,5,5,18,0,18,,48,3,20,239,32,43,15.6,1,0,,21,3,64,33,17,0.58,8,-2.4,0.13,0.36,,,,13,0.47,9,9,0,28,28,42,,,1490,1879,14,31,31,,31,27,910,2488,72.7,,2488,54,80,84.0,28.0,eng ENG,eng ENG,eng ENG,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,0,,10,9,-0.15,,0,1,,,1,2,,2,0,,,1,31,2.19,,,,35,1,85,Jude Bellingham,MF,MF,MF,,,MF,MF,MF,MF,MF,MF,74,74,4654,2818,199,199,143,143,1542,97,289,289,289,,,289,289,289,353,289,289,105,3.8,,,60,2.17,2,8,22,36.7,0.8,,Real Madrid,29,,29,,,0,2,41,54.7,19,22,11,5,,61,66.7,89,33,33,28,37.3,21413,6054,1881,,30,49.2,581678.0,2024-12-27,180000000.0,-1.9,9.9,13.7,0.17,9.9,61,33,54.4,32.9,True,0,True,4.5,3.9,3.9,11.4,21.5,0.78,0.55,11.4,2003
vinicius junior, vinicius jose paixao de oliveira junior, Vinicius José Paixão de Oliveira Junior,176,73,Right,4 ,2000-07-12,2027,2000,,,20,0.8,,53,87,0,25.0,25.0,25.0,,,25.0,25.0,25.0,25.0,25.0,25.0,0.0,24.0,24.0,24.0,,,24.0,24.0,24.0,24.0,24.0,24.0,8,8,901,,10,839,199,18,,901,191,,,45,9,2000.0,2000.0,2000.0,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,8,,106,,,952,1,673,74.7,,,673,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,12,1,1,8,8,56,6,56,,29,3,7,75,4,49,17.5,2,0,,9,11,70,30,19,0.68,9,0.6,0.12,0.38,,,,18,0.72,11,11,0,3,3,58,,,862,1261,13,7,30,,30,4,378,2253,65.9,,2253,72,75,86.0,31.0,br BRA,br BRA,br BRA,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,0,,10,10,-0.74,,0,2,,,2,3,,3,0,,,2,36,2.1,,,,9,1,80,Vinicius Júnior,FW,FW,FW,,,FW,FW,FW,FW,FW,FW,169,169,2523,4525,85,85,256,256,1059,71,1290,1290,1290,,,1290,1290,1290,1599,1290,1290,135,5.39,,,78,3.12,0,11,24,30.8,0.96,,Real Madrid,24,,24,,,0,6,82,42.9,16,15,10,29,,21,27.8,24,10,10,95,49.7,10433,7763,1264,,1,12.5,371998.0,2024-12-27,200000000.0,0.8,8.2,16.2,0.11,8.2,44,24,43.8,27.0,True,0,True,7.0,8.0,8.0,10.4,16.8,0.67,0.73,10.4,2000
kylian mbappe, kylian mbappe lottin, Kylian Mbappé Lottin,182,75,Right,4 ,1998-12-20,2029,1998,,,36,1.11,,75,95,0,32.3,32.3,32.3,,,32.3,32.3,32.3,32.3,32.3,32.3,-4.7,25.0,25.0,25.0,,,25.0,25.0,25.0,25.0,25.0,25.0,3,3,1145,,4,1114,320,5,,1145,187,,,33,3,1998.0,1998.0,1998.0,,,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,6,,96,,,1065,1,949,82.9,,,949,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,22,1,1,3,3,35,3,35,,66,0,1,35,1,49,17.3,1,3,,3,8,40,25,34,0.84,24,5.1,0.16,0.32,,,,15,0.46,31,31,0,1,1,51,,,1074,1563,4,6,34,,34,3,439,2907,85.0,,2907,84,86,86.0,,fr FRA,fr FRA,fr FRA,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,0,,5,44,0.41,,0,7,,,7,9,,9,0,,,3,52,2.24,,,,3,2,83,Kylian Mbappé,FW,FW,FW,,,FW,FW,FW,FW,FW,FW,150,150,2382,3808,140,140,386,386,1355,36,1692,1692,1692,,,1692,1692,1692,2080,1692,1692,133,4.12,,,152,4.71,0,17,75,49.3,2.32,,Real Madrid,34,,34,,,0,0,83,44.4,19,6,11,23,,8,20.0,9,5,5,91,48.7,13622,6987,1572,,4,40.0,342229.0,2025-03-21,170000000.0,5.4,18.6,26.3,0.12,18.6,68,32,69.0,35.2,True,0,True,6.6,7.7,7.7,25.9,33.8,1.05,1.04,25.9,1998
virgil van dijk, virgil van dijk, Virgil van Dijk,193,92,Right,3 ,1991-07-08,2027,1991,,,46,1.24,,290,24,0,37.0,37.0,37.0,,,37.0,37.0,37.0,37.0,37.0,37.0,0.3,33.0,33.0,33.0,,,33.0,33.0,33.0,33.0,33.0,33.0,1,1,2935,,2,166,48,22,,2935,5,,,9,27,1991.0,1991.0,1991.0,,,1991.0,1991.0,1991.0,1991.0,1991.0,1991.0,0,,3,,,1856,190,2688,91.6,,,2688,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,37,0,0,5,5,1,0,1,,224,2,17,1318,450,5,13.1,4,1,,86,1,13,17,4,0.11,3,0.8,0.11,0.38,,,,4,0.11,3,3,0,56,56,12,,,2708,3301,9,46,37,,37,19,1827,3330,97.4,,3330,10,90,90.0,,nl NED,nl NED,nl NED,,,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,0,,3,0,2.24,,0,0,,,0,0,,0,0,,,0,7,2.27,,,,11,0,41,Virgil van Dijk,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,22,22,19110,4846,198,198,6,6,2281,115,2671,2671,2671,,,2671,2671,2671,3287,2671,2671,48,1.3,,,27,0.73,16,3,8,29.6,0.22,,Liverpool,37,,37,,,0,0,3,60.0,22,1,8,1,,38,59.1,94,20,20,2,40.0,49037,8754,3301,,119,72.1,139208.0,2025-05-30,23000000.0,0.8,2.2,3.0,0.08,2.2,84,38,79.9,36.4,True,1,True,1.0,0.7,0.7,2.2,43.5,1.18,0.08,2.2,1991
harry kane, harry edward kane, Harry Edward Kane,188,86,Right,4 ,1993-07-28,2027,1993,,,64,2.42,,56,19,0,26.5,26.5,26.5,,,26.5,26.5,26.5,26.5,26.5,26.5,3.7,31.0,31.0,31.0,,,31.0,31.0,31.0,31.0,31.0,31.0,9,9,645,,2,511,162,6,,645,53,,,21,16,1993.0,1993.0,1993.0,,,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1,,21,,,513,16,509,78.9,,,509,de Bundesliga,de Bundesliga,de Bundesliga,,,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,15,0,0,5,5,13,2,13,,18,0,3,77,20,22,16.3,0,6,,1,5,21,9,35,0.98,17,5.7,0.16,0.38,,,,21,0.79,26,26,0,2,2,35,,,621,908,4,20,31,,31,8,333,2381,77.8,,2381,41,77,82.0,29.0,eng ENG,eng ENG,eng ENG,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,0,,6,16,2.02,,0,9,,,9,9,,9,0,,,2,36,2.52,,,,14,1,59,Harry Kane,FW,FW,FW,,,FW,FW,FW,FW,FW,FW,29,29,2258,954,97,97,143,143,716,61,1318,1318,1318,,,1318,1318,1318,1631,1318,1318,89,3.36,,,105,3.97,2,15,45,42.9,1.7,,Bayern Munich,28,,28,,,0,3,23,43.4,14,17,9,9,,13,33.3,15,11,11,29,54.7,9141,2260,917,,29,59.2,132098.0,2025-06-05,75000000.0,3.7,13.3,18.6,0.13,13.3,82,18,65.0,17.8,True,0,True,5.6,5.3,5.3,20.3,47.2,1.79,0.97,20.3,1993
florian wirtz, florian richard wirtz, Florian Richard Wirtz,177,71,Right,4 ,2003-05-03,2027,2003,,,26,1.0,,96,72,0,26.1,26.1,26.1,,,26.1,26.1,26.1,26.1,26.1,26.1,5.0,21.0,21.0,21.0,,,21.0,21.0,21.0,21.0,21.0,21.0,12,12,1749,,10,1177,137,22,,1749,167,,,40,32,2003.0,2003.0,2003.0,,,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,42,,53,,,1217,6,1370,78.3,,,1370,de Bundesliga,de Bundesliga,de Bundesliga,,,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,17,0,0,3,3,101,8,101,,120,1,10,129,10,47,19.7,1,1,,23,4,39,22,22,0.77,8,0.6,0.11,0.23,,,,26,0.99,10,10,17,10,10,57,,,1619,2092,13,36,31,,31,12,814,2351,76.8,,2351,58,76,87.0,28.0,de GER,de GER,de GER,,,de GER,de GER,de GER,de GER,de GER,de GER,0,,10,11,0.61,,4,2,,,2,4,,4,0,,,1,65,1.94,,,,29,7,107,Florian Wirtz,"MF,FW","MF,FW","MF,FW",,,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",131,131,5171,3641,176,176,309,309,1638,113,2780,2780,2780,,,2780,2780,2780,3418,2780,2780,148,5.66,,,74,2.83,3,6,35,47.3,1.34,,Leverkusen,25,,25,,,0,6,82,49.1,8,26,48,23,,32,40.9,42,20,20,79,47.3,18566,7053,2096,,9,20.0,598577.0,2025-06-05,140000000.0,1.9,6.1,13.1,0.08,6.1,58,32,44.1,27.6,True,0,True,9.4,7.0,7.0,9.4,16.5,0.63,0.63,9.4,2003
alisson, alisson ramses becker, Alisson Ramsés Becker,193,91,Right,3 ,1992-10-02,2027,1992,49.0,1.76,35,1.26,0.13,12,0,0,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,-0.6,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0,0,959,877.0,0,0,0,1,203.0,959,1,16.0,26.6,1,0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,0,2.0,0,9.0,32.1,658,13,794,82.8,33.5,68.0,794,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,27,0,0,0,0,0,0,0,7.0,121,0,1,991,742,0,,1,0,0.0,41,0,2,0,0,0.0,0,0.0,,,29.0,1.04,29.0,1,0.04,0,0,0,0,0,1,3.0,19.7,836,1011,1,0,28,28.0,28,0,20,2508,73.3,2508.0,2508,1,90,90.0,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,0,2.0,2,0,0.27,255.0,0,0,1.0,1.0,0,0,1.0,0,0,0.0,0.0,0,0,2.18,30.5,3.5,0.3,0,0,7,Alisson,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,0,0,11360,1586,1,1,0,0,618,47,88,88,88,4.0,4.0,88,88,88,113,88,88,7,0.25,72.0,73.0,0,0.0,0,0,0,,0.0,100.0,Liverpool,28,28.0,28,11.0,4.3,0,0,1,100.0,1,1,0,0,128.0,1,0.0,1,0,0,0,0.0,17555,2625,1011,18.0,7,100.0,105470.0,2025-05-30,20000000.0,0.0,0.0,0.6,,0.0,64,29,62.2,27.4,True,0,True,0.2,0.6,0.6,0.0,34.9,1.25,0.02,0.0,1992
kevin de bruyne, kevin de bruyne, Kevin De Bruyne,181,75,Right,5 ,1991-06-28,2025,1991,,,23,1.22,,88,51,0,18.9,18.9,18.9,,,18.9,18.9,18.9,18.9,18.9,18.9,-1.0,33.0,33.0,33.0,,,33.0,33.0,33.0,33.0,33.0,33.0,7,7,1196,,5,850,79,23,,1196,34,,,28,8,1991.0,1991.0,1991.0,,,1991.0,1991.0,1991.0,1991.0,1991.0,1991.0,94,,20,,,812,10,908,75.9,,,908,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,7,0,0,2,2,145,13,145,,160,2,7,75,10,28,21.4,1,8,,32,3,18,17,11,0.58,4,-1.1,0.07,0.27,,,,11,0.58,4,4,33,7,7,57,,,1031,1368,18,16,28,,28,5,455,1702,49.8,,1702,26,61,83.0,15.0,be BEL,be BEL,be BEL,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,0,,5,5,0.95,,20,0,,,0,0,,0,0,,,0,59,1.82,,,,8,26,73,Kevin De Bruyne,"MF,FW","MF,FW","MF,FW",,,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",51,51,4454,2076,157,157,150,150,1021,64,679,679,679,,,679,679,679,842,679,679,113,5.97,,,57,3.01,0,6,15,26.3,0.79,,Manchester City,19,,19,,,2,9,13,38.2,10,15,18,3,,17,21.7,24,9,9,17,50.0,15487,4001,1368,,5,23.8,88755.0,2025-05-30,20000000.0,-1.1,5.1,13.1,0.09,5.1,42,19,34.4,21.1,True,5,True,6.7,8.0,8.0,5.1,13.2,0.7,0.69,5.1,1991
thibaut courtois, thibaut nicolas marc courtois, Thibaut Nicolas Marc Courtois,200,96,Left,3 ,1992-05-11,2026,1992,14.0,0.47,33,1.1,0.02,4,0,0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-0.1,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0,0,1020,871.0,0,0,0,0,214.0,1020,1,10.7,28.2,0,0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,1992.0,0,6.0,0,11.0,36.7,659,15,848,83.1,29.0,62.0,848,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,30,0,0,1,1,0,0,0,6.0,178,0,0,1083,960,0,,1,0,0.0,30,0,2,0,0,0.0,0,0.0,,,29.0,0.97,29.0,0,0.0,0,0,0,1,1,1,4.0,18.5,841,1088,0,0,30,30.0,30,0,5,2700,78.9,2700.0,2700,0,90,90.0,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,1,1.0,1,0,0.23,350.0,0,0,3.0,3.0,0,0,3.0,0,0,0.0,0.0,0,0,2.2,28.7,0.7,0.27,0,1,3,Thibaut Courtois,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,0,0,12835,1989,0,0,0,0,650,45,624,624,624,30.0,30.0,624,624,624,769,624,624,4,0.13,75.0,76.0,0,0.0,0,0,0,,0.0,104.0,Real Madrid,30,30.0,30,16.0,4.6,0,0,0,0.0,2,0,0,0,173.0,0,,1,0,0,1,100.0,20000,3096,1088,20.0,8,100.0,108390.0,2024-12-27,25000000.0,0.0,0.0,0.1,,0.0,62,29,57.8,33.6,True,2,True,0.0,0.1,0.1,0.0,24.2,0.81,0.0,0.0,1992
